1.2911164E14	3648.0	75.0	-1.0
1.2911165E14	3648.0	79.0	-1.0
1.2911166E14	3648.0	73.0	-1.0
1.29111675E14	3667.0	64.0	-1.0
1.2911169E14	3667.0	56.0	-1.0
1.291117E14	3696.0	54.0	-1.0
1.2911171E14	3696.0	53.0	-1.0
1.29111725E14	3696.0	51.0	-1.0
1.2911173E14	3696.0	51.0	-1.0
1.2911174E14	3717.0	52.0	-1.0
1.2911175E14	3717.0	52.0	-1.0
1.2911176E14	3717.0	52.0	-1.0
1.29111775E14	3717.0	51.0	-1.0
1.2911178E14	3736.0	47.0	-1.0
1.2911179E14	3736.0	47.0	-1.0
1.291118E14	3736.0	53.0	-1.0
1.2911181E14	3736.0	52.0	-1.0
1.2911182E14	3723.0	49.0	-1.0
1.2911183E14	3723.0	42.0	-1.0
1.2911184E14	3723.0	32.0	-1.0
1.2911185E14	3688.0	21.0	-1.0
1.2911186E14	3688.0	13.0	-1.0
1.2911187E14	3688.0	6.0	-1.0
1.29111884E14	3688.0	2.0	-1.0
1.2911189E14	3628.0	2.0	-1.0
1.291119E14	3628.0	2.0	-1.0
1.2911191E14	3628.0	2.0	-1.0
1.2911192E14	3628.0	2.0	-1.0
1.29111935E14	3570.0	13.0	-1.0
1.2911194E14	3570.0	25.0	-1.0
1.2911195E14	3570.0	35.0	-1.0
1.2911196E14	3570.0	41.0	-1.0
1.2911365E14	4164.0	43.0	-1.0
1.29113654E14	4202.0	46.0	-1.0
1.2911366E14	4202.0	53.0	-1.0
1.2911367E14	4202.0	60.0	-1.0
1.2911368E14	4202.0	59.0	-1.0
1.291137E14	4198.0	53.0	-1.0
1.29113705E14	4198.0	42.0	-1.0
1.2911371E14	4198.0	27.0	-1.0
1.2911372E14	4198.0	11.0	-1.0
1.2911373E14	4173.0	4.0	-1.0
1.2911375E14	4173.0	21.0	-1.0
1.29113755E14	4173.0	47.0	-1.0
1.2911376E14	4158.0	60.0	-1.0
1.2911377E14	4158.0	49.0	-1.0
1.2911378E14	4158.0	37.0	-1.0
1.291138E14	4158.0	35.0	-1.0
