Year,Month,State,Residential Revenue (Thousand $),Commercial Revenue (Thousand $),Industrial Revenue (Thousand $),Transportation Revenue (Thousand $),Other                 Revenue (Thousand $),All Sectors        Revenue             (Thousand $),Residential Sales (MWh),Commercial Sales (MWh),Industrial Sales (MWh),Transportation Sales (MWh),Other           Sales  (MWh),All Sector    Sales (MWh),Average Retail Price Residential (c/kWh),Average Retail Price Commercial (c/kWh),Average Retail Price  Industrial (c/kWh),Average Retail Price Transportation (c/kWh),Average Retail Price           Other          (c/kWh),Average Retail Price              All Sectors (c/kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,10,," 5,904,768 "," 5,040,309 "," 4,068,952 ", -   ," 535,718 "," 15,549,749 "," 69,962,112 "," 63,833,216 "," 83,312,550 ", -   ," 7,726,417 "," 224,834,295 ", 8.44 , 7.90 , 4.88 ,   , 6.93 , 6.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,11,," 5,701,690 "," 4,524,514 "," 3,787,702 ", -   ," 504,756 "," 14,518,657 "," 70,061,583 "," 59,976,391 "," 81,096,935 ", -   ," 7,409,085 "," 218,543,989 ", 8.14 , 7.54 , 4.67 ,   , 6.81 , 6.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,12,," 6,875,097 "," 4,661,319 "," 3,664,983 ", -   ," 511,655 "," 15,713,056 "," 87,519,433 "," 62,877,023 "," 77,829,307 ", -   ," 7,671,501 "," 235,897,266 ", 7.86 , 7.41 , 4.71 ,   , 6.67 , 6.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,US Total," 76,848,357 "," 58,342,550 "," 46,993,184 ", -   ," 6,296,221 "," 188,480,315 "," 935,938,788 "," 761,270,531 "," 972,713,987 ", -   ," 93,442,156 "," 2,763,365,474 ", 8.21 , 7.66 , 4.83 ,   , 6.74 , 6.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,," 7,254,032 "," 4,709,998 "," 3,590,721 ", -   ," 517,425 "," 16,072,177 "," 93,792,370 "," 64,373,911 "," 77,305,371 ", -   ," 7,830,691 "," 243,302,348 ", 7.73 , 7.32 , 4.64 ,   , 6.61 , 6.61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,2,," 6,502,009 "," 4,497,468 "," 3,557,298 ", -   ," 497,966 "," 15,054,739 "," 83,424,707 "," 60,980,090 "," 76,503,060 ", -   ," 7,647,074 "," 228,554,933 ", 7.79 , 7.38 , 4.65 ,   , 6.51 , 6.59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,3,," 6,478,070 "," 4,646,361 "," 3,704,799 ", -   ," 496,188 "," 15,325,412 "," 83,053,786 "," 62,501,296 "," 79,438,591 ", -   ," 7,632,423 "," 232,626,090 ", 7.80 , 7.43 , 4.66 ,   , 6.50 , 6.59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,4,," 5,664,889 "," 4,478,887 "," 3,629,663 ", -   ," 505,487 "," 14,278,921 "," 69,702,639 "," 59,816,134 "," 78,915,253 ", -   ," 7,418,449 "," 215,852,470 ", 8.13 , 7.49 , 4.60 ,   , 6.81 , 6.62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,5,," 5,467,973 "," 4,793,726 "," 3,857,771 ", -   ," 514,602 "," 14,634,075 "," 63,882,663 "," 61,818,065 "," 81,528,591 ", -   ," 7,405,111 "," 214,634,431 ", 8.56 , 7.75 , 4.73 ,   , 6.95 , 6.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,6,," 6,694,215 "," 5,480,124 "," 4,182,279 ", -   ," 568,089 "," 16,924,711 "," 76,580,103 "," 68,482,657 "," 84,270,948 ", -   ," 8,005,469 "," 237,339,172 ", 8.74 , 8.00 , 4.96 ,   , 7.10 , 7.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,7,," 8,824,274 "," 6,098,544 "," 4,378,129 ", -   ," 584,005 "," 19,884,952 "," 101,040,539 "," 76,052,704 "," 84,807,577 ", -   ," 8,267,814 "," 270,168,633 ", 8.73 , 8.02 , 5.16 ,   , 7.06 , 7.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,8,," 8,925,408 "," 6,162,449 "," 4,444,968 ", -   ," 593,415 "," 20,126,243 "," 102,191,754 "," 76,942,364 "," 86,224,197 ", -   ," 8,464,618 "," 273,822,926 ", 8.73 , 8.01 , 5.16 ,   , 7.01 , 7.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,9,," 7,818,066 "," 5,814,937 "," 4,264,076 ", -   ," 600,671 "," 18,497,754 "," 88,905,699 "," 72,039,119 "," 83,257,430 ", -   ," 8,422,726 "," 252,624,982 ", 8.79 , 8.07 , 5.12 ,   , 7.13 , 7.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,10,," 6,286,560 "," 5,315,302 "," 4,150,313 ", -   ," 596,386 "," 16,348,565 "," 71,786,478 "," 65,591,621 "," 82,821,581 ", -   ," 8,183,531 "," 228,383,214 ", 8.76 , 8.10 , 5.01 ,   , 7.29 , 7.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,11,," 5,969,679 "," 4,727,691 "," 3,800,044 ", -   ," 536,570 "," 15,033,986 "," 72,725,759 "," 61,349,756 "," 81,102,990 ", -   ," 7,706,147 "," 222,884,652 ", 8.21 , 7.71 , 4.69 ,   , 6.96 , 6.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,12,," 6,928,652 "," 4,795,779 "," 3,797,090 ", -   ," 517,136 "," 16,038,653 "," 87,694,328 "," 64,625,647 "," 80,988,668 ", -   ," 7,959,844 "," 241,268,485 ", 7.90 , 7.42 , 4.69 ,   , 6.50 , 6.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,US Total," 82,813,827 "," 61,521,266 "," 47,357,151 ", -   ," 6,527,940 "," 198,220,188 "," 994,780,825 "," 794,573,364 "," 977,164,257 ", -   ," 94,943,897 "," 2,861,462,336 ", 8.32 , 7.74 , 4.85 ,   , 6.88 , 6.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,," 8,034,088 "," 4,954,490 "," 3,768,627 ", -   ," 539,117 "," 17,296,327 "," 103,824,773 "," 67,333,719 "," 80,503,402 ", -   ," 8,249,583 "," 259,911,474 ", 7.74 , 7.36 , 4.68 ,   , 6.54 , 6.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,2,," 7,037,001 "," 4,733,565 "," 3,677,233 ", -   ," 526,855 "," 15,974,657 "," 89,682,978 "," 63,278,100 "," 77,962,430 ", -   ," 7,945,565 "," 238,869,073 ", 7.85 , 7.48 , 4.72 ,   , 6.63 , 6.69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,3,," 6,455,611 "," 4,716,105 "," 3,763,436 ", -   ," 533,287 "," 15,468,445 "," 79,883,397 "," 63,199,101 "," 80,696,511 ", -   ," 7,875,907 "," 231,654,914 ", 8.08 , 7.46 , 4.66 ,   , 6.77 , 6.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,4,," 5,766,298 "," 4,632,879 "," 3,766,882 ", -   ," 506,897 "," 14,672,949 "," 69,492,472 "," 62,181,767 "," 80,770,453 ", -   ," 7,587,659 "," 220,032,349 ", 8.30 , 7.45 , 4.66 ,   , 6.68 , 6.67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,5,," 5,727,649 "," 4,888,241 "," 3,953,584 ", -   ," 526,710 "," 15,096,183 "," 67,156,660 "," 63,633,581 "," 83,624,504 ", -   ," 7,573,714 "," 221,988,465 ", 8.53 , 7.68 , 4.73 ,   , 6.95 , 6.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,6,," 7,375,490 "," 5,842,254 "," 4,288,566 ", -   ," 592,723 "," 18,099,033 "," 84,094,554 "," 73,323,437 "," 86,860,093 ", -   ," 8,441,748 "," 252,719,831 ", 8.77 , 7.97 , 4.94 ,   , 7.02 , 7.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,7,," 9,117,275 "," 6,340,852 "," 4,389,666 ", -   ," 612,856 "," 20,460,655 "," 103,618,549 "," 78,742,552 "," 86,841,762 ", -   ," 8,754,708 "," 277,957,564 ", 8.80 , 8.05 , 5.05 ,   , 7.00 , 7.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,8,," 8,557,260 "," 6,273,197 "," 4,424,597 ", -   ," 603,072 "," 19,858,129 "," 96,751,342 "," 77,672,076 "," 89,750,324 ", -   ," 8,665,201 "," 272,838,941 ", 8.84 , 8.08 , 4.93 ,   , 6.96 , 7.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,9,," 7,530,488 "," 6,002,351 "," 4,315,112 ", -   ," 612,324 "," 18,460,274 "," 85,350,828 "," 73,477,263 "," 87,598,244 ", -   ," 8,422,843 "," 254,849,176 ", 8.82 , 8.17 , 4.93 ,   , 7.27 , 7.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,10,," 6,138,189 "," 5,353,346 "," 4,069,689 ", -   ," 567,358 "," 16,128,581 "," 71,685,160 "," 67,556,439 "," 86,332,954 ", -   ," 8,233,527 "," 233,808,080 ", 8.56 , 7.92 , 4.71 ,   , 6.89 , 6.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,11,," 5,890,014 "," 4,782,527 "," 3,850,200 ", -   ," 531,172 "," 15,053,922 "," 71,073,494 "," 63,708,533 "," 83,898,276 ", -   ," 7,944,003 "," 226,624,312 ", 8.29 , 7.51 , 4.59 ,   , 6.69 , 6.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,12,," 6,922,948 "," 4,875,784 "," 3,801,467 ", -   ," 536,625 "," 16,136,821 "," 85,867,486 "," 66,162,897 "," 83,142,285 ", -   ," 8,136,018 "," 243,308,688 ", 8.06 , 7.37 , 4.57 ,   , 6.60 , 6.63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,US Total," 84,552,311 "," 63,395,591 "," 48,069,059 ", -   ," 6,688,996 "," 202,705,976 "," 1,008,481,693 "," 820,269,465 "," 1,007,981,238 ", -   ," 97,830,476 "," 2,934,562,867 ", 8.38 , 7.73 , 4.77 ,   , 6.84 , 6.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,," 7,581,252 "," 5,051,436 "," 3,675,631 ", -   ," 527,710 "," 16,836,030 "," 96,552,600 "," 68,984,247 "," 81,828,369 ", -   ," 7,914,585 "," 255,279,801 ", 7.85 , 7.32 , 4.49 ,   , 6.67 , 6.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,2,," 6,942,240 "," 4,899,205 "," 3,617,765 ", -   ," 517,247 "," 15,976,458 "," 86,678,934 "," 65,476,209 "," 79,284,045 ", -   ," 7,640,863 "," 239,080,051 ", 8.01 , 7.48 , 4.56 ,   , 6.77 , 6.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,3,," 6,467,944 "," 4,990,947 "," 3,763,009 ", -   ," 521,210 "," 15,743,111 "," 79,464,735 "," 66,351,106 "," 82,930,556 ", -   ," 7,661,466 "," 236,407,863 ", 8.14 , 7.52 , 4.54 ,   , 6.80 , 6.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,4,," 5,769,008 "," 4,793,564 "," 3,703,526 ", -   ," 489,406 "," 14,755,505 "," 68,584,474 "," 64,020,748 "," 81,944,647 ", -   ," 7,349,003 "," 221,898,872 ", 8.41 , 7.49 , 4.52 ,   , 6.66 , 6.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,5,," 5,980,633 "," 5,119,242 "," 3,870,597 ", -   ," 518,480 "," 15,488,953 "," 70,102,383 "," 66,937,350 "," 85,146,235 ", -   ," 7,438,232 "," 229,624,199 ", 8.53 , 7.65 , 4.55 ,   , 6.97 , 6.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,6,," 7,347,050 "," 5,982,162 "," 4,211,843 ", -   ," 572,028 "," 18,113,083 "," 84,229,052 "," 75,083,971 "," 87,618,813 ", -   ," 8,017,889 "," 254,949,724 ", 8.72 , 7.97 , 4.81 ,   , 7.13 , 7.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,7,," 9,156,463 "," 6,670,658 "," 4,270,034 ", -   ," 593,781 "," 20,690,936 "," 104,022,361 "," 82,632,803 "," 86,624,719 ", -   ," 8,332,880 "," 281,612,763 ", 8.80 , 8.07 , 4.93 ,   , 7.13 , 7.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
