Year,Month,State,Residential Revenue (Thousand $),Commercial Revenue (Thousand $),Industrial Revenue (Thousand $),Transportation Revenue (Thousand $),Other                 Revenue (Thousand $),All Sectors        Revenue             (Thousand $),Residential Sales (MWh),Commercial Sales (MWh),Industrial Sales (MWh),Transportation Sales (MWh),Other           Sales  (MWh),All Sector    Sales (MWh),Average Retail Price Residential (c/kWh),Average Retail Price Commercial (c/kWh),Average Retail Price  Industrial (c/kWh),Average Retail Price Transportation (c/kWh),Average Retail Price           Other          (c/kWh),Average Retail Price              All Sectors (c/kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,11,," 5,184,492 "," 4,302,006 "," 3,607,273 ", -   ," 466,780 "," 13,560,550 "," 66,428,238 "," 58,650,288 "," 77,666,097 ", -   ," 7,147,561 "," 209,892,183 ", 7.80 , 7.34 , 4.64 ,   , 6.53 , 6.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,12,," 5,968,524 "," 4,337,503 "," 3,556,079 ", -   ," 481,403 "," 14,343,509 "," 78,464,162 "," 60,492,934 "," 76,814,288 ", -   ," 7,129,507 "," 222,900,878 ", 7.61 , 7.17 , 4.63 ,   , 6.75 , 6.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,US Total," 72,378,419 "," 55,116,669 "," 44,856,812 ", -   ," 5,890,878 "," 178,242,791 "," 924,018,694 "," 751,026,561 "," 945,521,701 ", -   ," 91,987,720 "," 2,712,554,662 ", 7.83 , 7.34 , 4.74 ,   , 6.40 , 6.57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,," 6,951,839 "," 4,540,456 "," 3,527,408 ", -   ," 499,236 "," 15,518,940 "," 93,854,576 "," 63,355,384 "," 76,262,174 ", -   ," 7,736,242 "," 241,208,372 ", 7.41 , 7.17 , 4.63 ,   , 6.45 , 6.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,," 6,041,939 "," 4,314,890 "," 3,484,702 ", -   ," 473,551 "," 14,315,079 "," 79,444,016 "," 58,596,173 "," 73,867,697 ", -   ," 7,262,074 "," 219,169,956 ", 7.61 , 7.36 , 4.72 ,   , 6.52 , 6.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,3,," 5,750,968 "," 4,285,432 "," 3,526,128 ", -   ," 470,117 "," 14,032,643 "," 73,862,548 "," 58,168,650 "," 74,872,180 ", -   ," 7,285,842 "," 214,189,211 ", 7.79 , 7.37 , 4.71 ,   , 6.45 , 6.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,4,," 5,256,024 "," 4,206,096 "," 3,534,291 ", -   ," 477,692 "," 13,474,098 "," 65,887,836 "," 57,161,478 "," 75,888,484 ", -   ," 7,403,457 "," 206,341,259 ", 7.98 , 7.36 , 4.66 ,   , 6.45 , 6.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,5,," 5,478,459 "," 4,613,347 "," 3,803,811 ", -   ," 520,502 "," 14,416,126 "," 67,266,873 "," 61,451,570 "," 80,416,482 ", -   ," 8,163,594 "," 217,298,520 ", 8.14 , 7.51 , 4.73 ,   , 6.38 , 6.63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,6,," 6,734,265 "," 5,197,215 "," 4,002,638 ", -   ," 540,198 "," 16,474,321 "," 80,947,065 "," 68,014,994 "," 80,725,656 ", -   ," 8,288,829 "," 237,976,539 ", 8.32 , 7.64 , 4.96 ,   , 6.52 , 6.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,7,," 7,924,413 "," 5,560,673 "," 4,173,178 ", -   ," 568,913 "," 18,227,179 "," 94,569,114 "," 71,883,046 "," 81,775,445 ", -   ," 8,669,987 "," 256,897,592 ", 8.38 , 7.74 , 5.10 ,   , 6.56 , 7.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,8,," 7,822,087 "," 5,605,597 "," 4,273,059 ", -   ," 569,325 "," 18,270,065 "," 92,966,539 "," 72,378,189 "," 84,131,301 ", -   ," 8,785,351 "," 258,261,379 ", 8.41 , 7.74 , 5.08 ,   , 6.48 , 7.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,9,," 7,074,557 "," 5,394,356 "," 4,139,189 ", -   ," 546,312 "," 17,154,417 "," 84,536,461 "," 69,524,688 "," 82,139,054 ", -   ," 8,291,278 "," 244,491,486 ", 8.37 , 7.76 , 5.04 ,   , 6.59 , 7.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
