5.6885433E13	233.0	78.0
5.6885445E13	233.0	78.0
5.6885454E13	233.0	78.0
5.6885466E13	233.0	78.0
5.6885474E13	225.0	78.0
5.6885483E13	225.0	79.0
5.6885495E13	225.0	79.0
5.6885504E13	225.0	78.0
5.6885512E13	216.0	76.0
5.6885525E13	216.0	75.0
5.6885533E13	216.0	74.0
5.6885546E13	216.0	73.0
5.6885554E13	209.0	72.0
5.6885563E13	209.0	71.0
5.6885575E13	209.0	71.0
5.6885584E13	204.0	70.0
5.6885596E13	204.0	69.0
5.6885605E13	204.0	69.0
5.6885613E13	204.0	69.0
5.6885625E13	201.0	70.0
5.6885634E13	201.0	71.0
5.6885642E13	201.0	72.0
5.6885655E13	201.0	74.0
5.6885663E13	198.0	75.0
5.6885676E13	198.0	80.0
5.6885684E13	198.0	81.0
5.6885693E13	198.0	81.0
5.6885705E13	196.0	78.0
5.6885714E13	196.0	77.0
5.6885726E13	197.0	80.0
5.6885735E13	197.0	80.0
5.6885743E13	197.0	78.0
5.6885756E13	197.0	75.0
5.6885764E13	200.0	74.0
5.6885776E13	200.0	74.0
5.6885785E13	200.0	75.0
5.6885793E13	200.0	77.0
5.6885806E13	200.0	80.0
5.6885814E13	201.0	82.0
5.6885823E13	201.0	83.0
5.6885835E13	201.0	82.0
5.6885844E13	201.0	81.0
5.6885856E13	200.0	78.0
5.6885873E13	199.0	80.0
5.6885886E13	199.0	82.0
5.6885894E13	199.0	83.0
5.6885907E13	199.0	83.0
5.6885915E13	199.0	83.0
5.6885923E13	195.0	83.0
5.6885936E13	195.0	83.0
5.6885944E13	195.0	83.0
5.6885957E13	192.0	81.0
5.6885965E13	192.0	80.0
5.6885974E13	192.0	80.0
5.6885986E13	189.0	78.0
5.6885995E13	189.0	78.0
5.6886003E13	189.0	79.0
5.6886016E13	189.0	80.0
5.6886024E13	185.0	82.0
5.6886037E13	185.0	83.0
5.6886045E13	185.0	83.0
5.6886053E13	185.0	83.0
5.6886066E13	185.0	84.0
5.6886074E13	185.0	86.0
5.6886087E13	185.0	87.0
5.6886095E13	185.0	87.0
5.6886104E13	185.0	86.0
5.6886116E13	190.0	85.0
5.6886125E13	190.0	85.0
5.6886133E13	190.0	85.0
5.6886146E13	201.0	85.0
5.6886154E13	201.0	82.0
5.6886167E13	201.0	82.0
5.6886175E13	201.0	79.0
5.6886183E13	211.0	77.0
5.6886196E13	211.0	74.0
5.6886204E13	211.0	72.0
5.6886213E13	211.0	70.0
5.6886225E13	221.0	68.0
5.6886234E13	221.0	67.0
5.6886246E13	221.0	65.0
5.6886255E13	221.0	63.0
5.6886263E13	229.0	62.0
5.6886276E13	229.0	62.0
5.6886284E13	229.0	62.0
5.6886297E13	239.0	61.0
5.6886305E13	239.0	60.0
5.6886313E13	239.0	60.0
5.6886326E13	239.0	63.0
5.6886334E13	251.0	68.0
5.6886347E13	251.0	70.0
5.6886355E13	251.0	70.0
5.6886385E13	262.0	60.0
5.6886376E13	262.0	60.0
5.6886393E13	262.0	59.0
5.6886406E13	262.0	62.0
5.6886414E13	268.0	66.0
5.6886427E13	268.0	69.0
5.6886435E13	268.0	67.0
5.6886443E13	269.0	67.0
5.6886456E13	269.0	67.0
5.6886464E13	269.0	69.0
5.6886477E13	269.0	70.0
5.6886485E13	264.0	71.0
5.6886494E13	264.0	71.0
5.6886506E13	264.0	70.0
5.6886515E13	264.0	69.0
5.6886523E13	257.0	67.0
5.6886536E13	257.0	65.0
5.6886544E13	257.0	63.0
5.6886557E13	257.0	61.0
5.6886565E13	250.0	61.0
5.6886573E13	250.0	63.0
5.6886586E13	250.0	67.0
5.6886594E13	246.0	72.0
5.6886607E13	246.0	75.0
5.6886615E13	246.0	78.0
5.6886624E13	246.0	80.0
5.6886636E13	244.0	83.0
5.6886645E13	244.0	82.0
5.6886653E13	244.0	81.0
5.6886666E13	244.0	80.0
5.6886674E13	239.0	81.0
5.6886687E13	239.0	82.0
5.6886695E13	239.0	82.0
5.6886703E13	229.0	83.0
5.6886716E13	229.0	82.0
5.6886724E13	229.0	80.0
5.6886737E13	229.0	78.0
5.6886745E13	220.0	75.0
