@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,jogging,sprinting,others}

@data
13.920261,2.649025,0.722121,1.277436,1.185181,2.120373,0.980741,1.303894,0.748178,1.665671,0.269821,0.770305,1.629729,0.105364,0.98153,1.297625,0.500134,0.903264,0.743242,0.643275,0.914714,0.276318,0.732721,0.506512,0.610344,0.80627,0.34283,0.78041,0.589179,0.501077,0.806067,0.250243,0.842748,0.250243,0.806067,0.501077,0.589179,0.78041,0.34283,0.80627,0.610344,0.506512,0.732721,0.276318,0.914714,0.643275,0.743242,0.903264,0.500134,1.297625,0.98153,0.105364,1.629729,0.770305,0.269821,1.665671,0.748178,1.303894,0.980741,2.120373,1.185181,1.277436,0.722121,2.649025,0.834335,standing
44.465552,2.652303,2.646122,4.198911,2.644936,0.857253,2.318979,1.887198,1.21239,0.752216,1.77902,0.914755,0.658244,0.435159,0.358388,0.237947,0.149924,0.107891,0.071616,0.212891,0.213245,0.158771,0.178499,0.047269,0.072502,0.040167,0.116953,0.166064,0.090597,0.079989,0.134119,0.127235,0.036663,0.127235,0.134119,0.079989,0.090597,0.166064,0.116953,0.040167,0.072502,0.047269,0.178499,0.158771,0.213245,0.212891,0.071616,0.107891,0.149924,0.237947,0.358388,0.435159,0.658244,0.914755,1.77902,0.752216,1.21239,1.887198,2.318979,0.857253,2.644936,4.198911,2.646122,2.652303,1.18654,standing
21.192406,7.879267,4.327965,1.558695,2.055838,2.370539,2.272046,2.807356,3.626338,2.448062,1.111263,1.031356,0.210905,0.165679,0.507533,0.569223,0.92684,0.805456,0.529512,0.556839,0.438576,0.505312,0.355985,0.250036,0.161752,0.233564,0.29686,0.418246,0.476717,0.373844,0.331954,0.288929,0.334467,0.288929,0.331954,0.373844,0.476717,0.418246,0.29686,0.233564,0.161752,0.250036,0.355985,0.505312,0.438576,0.556839,0.529512,0.805456,0.92684,0.569223,0.507533,0.165679,0.210905,1.031356,1.111263,2.448062,3.626338,2.807356,2.272046,2.370539,2.055838,1.558695,4.327965,7.879267,1.008554,standing
8.645969,1.943047,0.542347,0.474808,0.831667,1.189587,1.135606,0.328995,0.513859,0.882555,0.534289,0.204914,0.278228,0.302551,0.126245,0.111825,0.140401,0.10686,0.091716,0.10947,0.098597,0.092249,0.035835,0.081717,0.077383,0.065128,0.131374,0.039468,0.049188,0.102135,0.054913,0.111142,0.035396,0.111142,0.054913,0.102135,0.049188,0.039468,0.131374,0.065128,0.077383,0.081717,0.035835,0.092249,0.098597,0.10947,0.091716,0.10686,0.140401,0.111825,0.126245,0.302551,0.278228,0.204914,0.534289,0.882555,0.513859,0.328995,1.135606,1.189587,0.831667,0.474808,0.542347,1.943047,0.362057,standing
6.586215,0.777569,0.837091,0.397012,0.455035,0.47341,0.638249,0.697207,0.649235,0.286397,0.349105,0.313099,0.215307,0.11695,0.191141,0.022933,0.117605,0.183755,0.136369,0.052358,0.049779,0.069654,0.086256,0.066392,0.011365,0.054997,0.013014,0.005906,0.021582,0.064669,0.081809,0.027121,0.029338,0.027121,0.081809,0.064669,0.021582,0.005906,0.013014,0.054997,0.011365,0.066392,0.086256,0.069654,0.049779,0.052358,0.136369,0.183755,0.117605,0.022933,0.191141,0.11695,0.215307,0.313099,0.349105,0.286397,0.649235,0.697207,0.638249,0.47341,0.455035,0.397012,0.837091,0.777569,0.196108,standing
8.246386,0.82323,0.927097,1.431074,1.072507,0.503452,0.36397,0.264666,0.198038,0.28937,0.277098,0.33556,0.311005,0.166423,0.087219,0.076702,0.054,0.058872,0.120326,0.165996,0.194276,0.113044,0.057231,0.104149,0.12355,0.09063,0.123768,0.107579,0.051836,0.064842,0.084468,0.081796,0.058556,0.081796,0.084468,0.064842,0.051836,0.107579,0.123768,0.09063,0.12355,0.104149,0.057231,0.113044,0.194276,0.165996,0.120326,0.058872,0.054,0.076702,0.087219,0.166423,0.311005,0.33556,0.277098,0.28937,0.198038,0.264666,0.36397,0.503452,1.072507,1.431074,0.927097,0.82323,0.25952,standing
11.79248,0.741385,1.884423,0.558879,0.220336,0.371038,0.539304,0.376171,0.31837,0.307993,0.328903,0.299271,0.291673,0.274589,0.22667,0.138235,0.068255,0.200727,0.150836,0.126158,0.134098,0.102991,0.105604,0.134142,0.052929,0.111499,0.099902,0.071028,0.09611,0.086933,0.07718,0.071995,0.145159,0.071995,0.07718,0.086933,0.09611,0.071028,0.099902,0.111499,0.052929,0.134142,0.105604,0.102991,0.134098,0.126158,0.150836,0.200727,0.068255,0.138235,0.22667,0.274589,0.291673,0.299271,0.328903,0.307993,0.31837,0.376171,0.539304,0.371038,0.220336,0.558879,1.884423,0.741385,0.292486,standing
10.072674,0.962375,0.830888,1.115005,1.215806,0.272007,0.081622,0.349929,0.064619,0.284267,0.301273,0.339657,0.218179,0.104111,0.08773,0.136916,0.179013,0.108729,0.051947,0.110744,0.066874,0.077509,0.069643,0.12152,0.064508,0.046625,0.023087,0.054309,0.050024,0.015657,0.046954,0.072192,0.06081,0.072192,0.046954,0.015657,0.050024,0.054309,0.023087,0.046625,0.064508,0.12152,0.069643,0.077509,0.066874,0.110744,0.051947,0.108729,0.179013,0.136916,0.08773,0.104111,0.218179,0.339657,0.301273,0.284267,0.064619,0.349929,0.081622,0.272007,1.215806,1.115005,0.830888,0.962375,0.291798,standing
9.29089,1.607508,0.026661,1.657714,0.286853,0.496135,0.299995,0.248585,0.40553,0.27307,0.198829,0.178203,0.063178,0.156523,0.031425,0.197298,0.097768,0.162021,0.148081,0.077926,0.111706,0.031965,0.081666,0.097231,0.109635,0.066637,0.072144,0.11903,0.189059,0.037745,0.088493,0.088169,0.096334,0.088169,0.088493,0.037745,0.189059,0.11903,0.072144,0.066637,0.109635,0.097231,0.081666,0.031965,0.111706,0.077926,0.148081,0.162021,0.097768,0.197298,0.031425,0.156523,0.063178,0.178203,0.198829,0.27307,0.40553,0.248585,0.299995,0.496135,0.286853,1.657714,0.026661,1.607508,0.276598,standing
10.280895,1.12666,0.593703,0.387145,0.873641,0.833512,0.054121,0.111425,0.533221,0.355633,0.642079,0.299687,0.484858,0.172249,0.138863,0.089809,0.187952,0.102422,0.099396,0.099513,0.064524,0.086322,0.069181,0.115299,0.033944,0.164996,0.069381,0.012685,0.091851,0.041984,0.033888,0.068458,0.022962,0.068458,0.033888,0.041984,0.091851,0.012685,0.069381,0.164996,0.033944,0.115299,0.069181,0.086322,0.064524,0.099513,0.099396,0.102422,0.187952,0.089809,0.138863,0.172249,0.484858,0.299687,0.642079,0.355633,0.533221,0.111425,0.054121,0.833512,0.873641,0.387145,0.593703,1.12666,0.285981,standing
