@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,jogging,sprinting,others}

@data
10.425776,1.147064,0.627257,1.354095,1.147063,0.58542,0.119376,0.477662,0.759195,0.486809,0.076642,0.991401,1.168226,1.038611,0.581244,0.020983,0.067878,0.733755,0.45323,0.17892,0.462322,0.037811,0.247421,0.144694,0.152053,0.452268,0.051454,0.288233,0.085506,0.073093,0.047176,0.056585,0.097992,0.056585,0.047176,0.073093,0.085506,0.288233,0.051454,0.452268,0.152053,0.144694,0.247421,0.037811,0.462322,0.17892,0.45323,0.733755,0.067878,0.020983,0.581244,1.038611,1.168226,0.991401,0.076642,0.486809,0.759195,0.477662,0.119376,0.58542,1.147063,1.354095,0.627257,1.147064,0.360164,standing
34.281783,9.566991,5.836483,1.214788,4.574796,2.945029,4.719827,0.202823,1.32845,4.003339,0.428164,2.336531,1.621999,1.265137,1.584123,2.443167,0.737014,1.450924,0.655398,2.127155,0.275406,1.148019,0.505075,1.103497,0.258474,1.168672,0.348095,0.990867,0.209044,1.024421,0.312096,0.821307,0.458927,0.821307,0.312096,1.024421,0.209044,0.990867,0.348095,1.168672,0.258474,1.103497,0.505075,1.148019,0.275406,2.127155,0.655398,1.450924,0.737014,2.443167,1.584123,1.265137,1.621999,2.336531,0.428164,4.003339,1.32845,0.202823,4.719827,2.945029,4.574796,1.214788,5.836483,9.566991,1.320395,standing
34.216447,9.448076,2.106829,4.16297,4.885701,4.621822,3.803518,2.462998,1.500328,2.050168,2.888429,0.26081,1.480758,1.466892,0.787985,0.567825,0.893185,0.349962,0.642868,0.730522,0.930754,0.414535,0.526599,0.48823,0.405846,0.30062,0.647291,0.426869,0.425162,0.531824,0.527916,0.559528,0.651153,0.559528,0.527916,0.531824,0.425162,0.426869,0.647291,0.30062,0.405846,0.48823,0.526599,0.414535,0.930754,0.730522,0.642868,0.349962,0.893185,0.567825,0.787985,1.466892,1.480758,0.26081,2.888429,2.050168,1.500328,2.462998,3.803518,4.621822,4.885701,4.16297,2.106829,9.448076,1.575647,standing
29.356741,2.106149,3.070307,0.544408,0.918222,0.699322,0.676197,0.231572,0.707111,0.764222,0.777326,0.24169,0.237277,0.179378,0.288783,0.182092,0.188668,0.071292,0.054006,0.190289,0.13746,0.133399,0.213172,0.120103,0.170983,0.053275,0.117464,0.164649,0.125922,0.156727,0.049205,0.078571,0.059601,0.078571,0.049205,0.156727,0.125922,0.164649,0.117464,0.053275,0.170983,0.120103,0.213172,0.133399,0.13746,0.190289,0.054006,0.071292,0.188668,0.182092,0.288783,0.179378,0.237277,0.24169,0.777326,0.764222,0.707111,0.231572,0.676197,0.699322,0.918222,0.544408,3.070307,2.106149,0.660943,standing
24.344653,2.214612,1.03012,1.317412,1.085203,0.59065,0.226055,0.538142,0.347133,0.385073,0.424337,0.308085,0.414565,0.069259,0.032589,0.040699,0.210176,0.058177,0.052758,0.075682,0.160153,0.091376,0.083456,0.115739,0.08011,0.011575,0.05005,0.001847,0.069299,0.086788,0.059381,0.061146,0.067511,0.061146,0.059381,0.086788,0.069299,0.001847,0.05005,0.011575,0.08011,0.115739,0.083456,0.091376,0.160153,0.075682,0.052758,0.058177,0.210176,0.040699,0.032589,0.069259,0.414565,0.308085,0.424337,0.385073,0.347133,0.538142,0.226055,0.59065,1.085203,1.317412,1.03012,2.214612,0.553348,standing
19.41922,2.312817,0.882004,1.98993,1.309937,0.104381,0.725517,0.682485,0.475085,0.250673,0.20646,0.320022,0.277414,0.334888,0.019546,0.097411,0.14428,0.159508,0.13752,0.161403,0.099207,0.075899,0.051404,0.088874,0.058771,0.072299,0.037182,0.050691,0.058918,0.008434,0.135576,0.025856,0.082357,0.025856,0.135576,0.008434,0.058918,0.050691,0.037182,0.072299,0.058771,0.088874,0.051404,0.075899,0.099207,0.161403,0.13752,0.159508,0.14428,0.097411,0.019546,0.334888,0.277414,0.320022,0.20646,0.250673,0.475085,0.682485,0.725517,0.104381,1.309937,1.98993,0.882004,2.312817,0.494479,standing
17.525077,0.816921,3.469208,0.201154,0.317641,0.441443,1.090107,0.464917,0.604044,0.741082,0.736527,0.319482,0.168833,0.169065,0.288454,0.246892,0.102039,0.10555,0.133377,0.101634,0.048496,0.091989,0.146094,0.037185,0.085568,0.078079,0.06017,0.036569,0.078628,0.137374,0.09973,0.014562,0.026046,0.014562,0.09973,0.137374,0.078628,0.036569,0.06017,0.078079,0.085568,0.037185,0.146094,0.091989,0.048496,0.101634,0.133377,0.10555,0.102039,0.246892,0.288454,0.169065,0.168833,0.319482,0.736527,0.741082,0.604044,0.464917,1.090107,0.441443,0.317641,0.201154,3.469208,0.816921,0.472515,standing
10.392955,0.917064,1.120644,1.074892,0.411442,0.292254,0.118866,0.105845,0.249295,0.329876,0.198929,0.235238,0.266607,0.143883,0.01989,0.259029,0.099214,0.072511,0.114985,0.081118,0.066012,0.084071,0.045759,0.078109,0.076531,0.106589,0.010063,0.042732,0.050231,0.061662,0.095201,0.044353,0.086878,0.044353,0.095201,0.061662,0.050231,0.042732,0.010063,0.106589,0.076531,0.078109,0.045759,0.084071,0.066012,0.081118,0.114985,0.072511,0.099214,0.259029,0.01989,0.143883,0.266607,0.235238,0.198929,0.329876,0.249295,0.105845,0.118866,0.292254,0.411442,1.074892,1.120644,0.917064,0.246669,standing
10.544368,0.501856,0.544849,0.783853,0.479026,0.571834,0.184369,0.302801,0.42393,0.283533,0.250118,0.171389,0.271094,0.089616,0.068332,0.012337,0.013989,0.094692,0.141116,0.091158,0.177825,0.079574,0.03184,0.083258,0.053524,0.068182,0.007044,0.043838,0.076657,0.07066,0.063163,0.066273,0.117171,0.066273,0.063163,0.07066,0.076657,0.043838,0.007044,0.068182,0.053524,0.083258,0.03184,0.079574,0.177825,0.091158,0.141116,0.094692,0.013989,0.012337,0.068332,0.089616,0.271094,0.171389,0.250118,0.283533,0.42393,0.302801,0.184369,0.571834,0.479026,0.783853,0.544849,0.501856,0.245689,standing
9.477096,1.407119,0.785291,0.491808,0.967049,0.323194,0.413583,0.252255,0.44955,0.169602,0.32657,0.33427,0.266037,0.13142,0.073889,0.043377,0.018412,0.059581,0.151987,0.055066,0.047384,0.109294,0.060836,0.103228,0.042752,0.048089,0.04243,0.022024,0.044678,0.063554,0.053427,0.096907,0.009517,0.096907,0.053427,0.063554,0.044678,0.022024,0.04243,0.048089,0.042752,0.103228,0.060836,0.109294,0.047384,0.055066,0.151987,0.059581,0.018412,0.043377,0.073889,0.13142,0.266037,0.33427,0.32657,0.169602,0.44955,0.252255,0.413583,0.323194,0.967049,0.491808,0.785291,1.407119,0.274921,standing
